student_id,name,class,comprehension,attention,focus,retention,engagement_time,assessment_score
S1000,Amanda Strong,A,60.5,73.1,53.5,78.8,88.6,68.3
S1001,Joy Zavala,C,75.7,81.1,48.3,55.5,4.6,72.2
S1002,Maria Holden,B,92.6,59.5,73.4,56.2,43.3,71.9
S1003,Mary Rodriguez,B,86.1,52.4,56.7,78.2,3.5,69.1
S1004,Tanner Valencia,A,89.1,49.3,48.3,35.8,119.3,53.6
S1005,Erin Griffin,A,63.9,35.5,83.8,56.6,14.4,46.7
S1006,Philip Luna,A,58.1,95.8,85.6,64.7,44.8,74.4
S1007,Julia Lozano,C,68.5,48.5,49.2,68.3,12.6,55.6
S1008,Cynthia Marshall,B,70.7,61.7,26.4,54.9,29.6,51.5
S1009,Luke Mccarty,B,83.1,60.8,78.1,62.5,6.4,67.6
S1010,Kathleen Martin,A,49.7,69.6,47.7,27.2,4.7,48.0
S1011,Cynthia Gordon,C,88.4,77.2,74.2,52.8,83.4,78.4
S1012,Colleen Salas,C,68.1,77.9,24.5,68.3,74.9,64.7
S1013,Kayla Mckenzie,A,64.9,56.3,76.1,48.2,65.5,60.9
S1014,Gina Zuniga,A,57.9,62.5,38.2,62.8,29.5,55.9
S1015,Alison Johnson,A,50.1,69.2,73.2,68.3,49.5,61.5
S1016,Scott Reynolds,A,79.9,61.3,60.3,57.2,2.1,57.2
S1017,Alexis Fitzpatrick,B,70.9,89.1,42.8,64.4,12.2,66.6
S1018,Paul Roberts,B,54.5,72.4,52.7,48.5,11.3,44.2
S1019,Jonathan Hanson,A,54.5,76.0,72.4,59.1,30.3,65.8
S1020,Jessica Harris,B,66.0,74.9,61.9,70.5,13.2,54.7
S1021,Bonnie Maynard,A,90.0,82.6,70.5,64.2,4.8,73.2
S1022,Justin West,A,66.9,67.7,95.6,53.8,27.2,59.8
S1023,Noah Fisher,A,52.0,45.5,31.8,65.1,50.5,47.7
S1024,Amy Anderson,B,67.1,71.0,89.1,72.0,14.4,66.6
S1025,Amanda Hall,C,66.7,55.2,61.9,33.3,4.3,41.7
S1026,Rebecca Carr DVM,A,37.6,57.1,43.8,78.2,6.6,48.7
